"","ID","site","width","length","l_w_index","area","percent_area","contour_length","area_contour_ratio","position_longest_extend","position_widest_extend","length_lower_part","relative_length_lower_part","length_upper_part","relative_length_upper_part","upper_to_lower_ratio","width_left_part","relative_width_left_part","width_right_part","relative_width_right_part","left_to_right_ratio","tip_angle","MP_CM_x_offset","MP_CM_y_offset","FD","ka_cal_BP","typology","region","clust","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44"
"AggsbachB_01_01","AggsbachB_01_01","AggsbachB",8,32,4,216,74,78,276,4,2,12.5,39,20.4,63,1.6,5.3,66,3.4,42,1.6,57,0.2,-0.5,1.94121712012514,30,"Flechette","Lower Austria",1,-28.6155811766258,-9.05615251548148,-7.12192686771292,-4.64783348345672,-0.747516790082291,0.0898881908689768,-1.51187866447801,2.05069694775814,-0.193488407429688,0.867398754209951,-0.805798099879641,-0.883697796514755,-0.993022852668995,0.799463521179277,-0.0486758523906665,-0.538233124025896,0.404487697769539,0.750347896150096,0.569681243589128,0.0130948326995561,0.0556821739169128,-0.211072492123785,0.327536356698467,0.532003278326714,-0.420829691901715,0.805231906748791,-0.00915309123283187,-0.65161252107838,-0.403531961205759,-0.410289981630573,-0.16050658963037,0.289469667320574,-0.118473827891523,-0.106741961262094,-0.543302122322333,0.19345709725014,-0.140676684996395,-0.284747476454004,-0.0792129991026054,-0.0161403625606063,-0.107589518496537,-0.0650370144322724,0.169797217155614,0.00819567763491247
"AggsbachB_01_02","AggsbachB_01_02","AggsbachB",8,56,7,386,81,132,292,4,4,42.5,75,14.2,25,0.3,4.9,61,3.3,41,1.5,71,0.1,0.1,1.88209730240677,30,"Gravette_point","Lower Austria",2,-132.117372133303,-3.766382722381,23.198218076036,-2.00180861598409,-1.61086499918017,0.349515849514528,-2.68136824069043,-0.0607628220781145,-4.24545369354479,-2.21937598948113,3.39230298432747,2.01297482741001,-1.88436899715015,1.35292492248455,-1.59230778777926,1.33040294570472,-1.49521059833472,-0.479806421525555,0.355475796473469,0.68652320757911,-0.87886794588429,-0.405142190807912,0.209113807510765,-1.34484383012905,0.0822718749585828,-0.0822287242145295,0.280782985985913,-0.40240038001192,0.433957667763966,-0.275856798813385,-0.196825808249726,-0.666838907257123,-0.0850247738406301,0.245643321845759,0.0726464862700756,0.0392757840888548,0.210549965204353,-0.113588862511098,-0.0515464888938822,-0.0691057480271613,-0.0294966109468863,0.006570178542452,0.0222440287763699,0.166871809895957
"AggsbachB_01_03","AggsbachB_01_03","AggsbachB",5,27,5.4,129,81,67,192,3,2,9,33,18.6,68,2.1,3,60,2.9,58,1,48,0.1,-0.7,1.86784566328232,30,"Flechette","Lower Austria",1,-3.16693689923468,4.12477994710508,1.53352655835582,-0.9217779793616,-1.54242774385442,-0.24564584383963,1.07494291480862,1.13002721633311,-1.54659639643522,0.861495114374294,0.201007698500767,-0.265822297338821,-0.951931774461375,-0.71158832554265,-0.186176928074501,-0.216084005580652,0.152960078167074,-0.533959755191742,0.591203950100919,-0.0118527382469112,-0.796284883550802,0.0734962490334945,0.0125901965216313,0.385625969974269,-0.113666198719588,0.160700777724258,0.0967756634174116,0.101284967889951,-0.243309206322718,0.254222185258352,-0.228397728316781,-0.0570536049905578,-0.0120872818667827,0.0161698342803123,-0.221160332918444,-0.206686236307912,-0.214898498943534,-0.00129150465218186,0.0545152873641373,-0.158548073951019,-0.00237652075830828,0.00841830800452493,0.0757071221629558,0.145985281506134
"AggsbachB_01_05","AggsbachB_01_05","AggsbachB",5,27,5.4,109,75,60,181,3,2,8,29,19.5,72,2.4,2.9,58,2.4,47,1.2,38,0.2,-0.6,1.93351856537537,30,"Flechette","Lower Austria",1,0.425962719992018,4.48410846503648,4.63012560284538,0.34600473619125,-0.972769748120047,0.432135396529874,0.818674814777792,0.928091177656113,-0.177845255522563,1.43267605439033,0.208127418563217,-1.07204542451734,-0.148311988761217,0.28753452974388,0.184212731701115,0.83192510221754,0.101743587497852,0.01867603226521,0.1328207030922,0.339785075738386,0.499946168609641,-0.233662529454612,-0.134820938934754,-0.0651725688745269,-0.104876932210641,0.00315017638335778,-0.0433701728275729,0.824038250492703,-0.280709254076527,-0.112815868473129,-0.402700113440254,-0.195303109501396,-0.390646573270127,0.130879080110875,0.143796963353502,-0.0740211240640452,0.00493150900855496,0.0352471806792288,-0.167397862557074,-0.11775451289723,0.0643470432512278,0.0355409790126865,-0.0178013961844564,0.0761846349172917
"AggsbachB_01_08","AggsbachB_01_08","AggsbachB",6,26,4.3,123,76,62,198,4,2,9.1,34,17.2,66,1.9,3.7,61,2.5,40,1.5,49,0.1,-0.5,1.88244373515024,30,"Flechette","Lower Austria",1,3.99372183693335,-6.51147635214686,-1.52241588974189,-1.7697852167326,-0.349848062031216,-1.07658279918717,-0.465374307337666,1.65741671183619,-0.0198208642634498,0.401387644735688,0.82093619201164,-0.907634564322962,-1.39322611913621,0.121379895189266,-0.147433070569552,-0.129773618246498,0.219318478723843,0.0299879606359596,0.234518402997115,-0.276058703711158,-0.0977654010380768,0.228426476271007,0.199541530641287,0.116178457502662,-0.0350071152010292,-0.196335835329107,0.145433073606102,0.199570492819898,-0.100603715943145,-0.0880688005799271,-0.295883995479165,0.000566368978868718,-0.322653829009745,0.362725963237731,-0.261044513025735,0.11267254758851,-0.0460102216161901,-0.0641209277288693,-0.0129151488995658,0.231347558098781,-0.0175519208473427,0.118346077691188,-0.0480105389793596,-0.1271786669189
"AggsbachB_01_09","AggsbachB_01_09","AggsbachB",7,37,5.3,224,76,86,260,3,2,9.2,24,28.1,75,3,3.7,52,3.6,51,1,41,0.3,-1.2,1.99335567502453,30,"Flechette","Lower Austria",1,-48.7792162897791,-2.59493501227597,3.92950549543236,-2.26859737397758,0.862772694643108,-2.06238403684024,0.0401463838384985,-1.19437354960152,-2.00312358074896,-0.257494395811813,-0.870000931682666,-1.03318301473497,-1.48940052873393,-0.564460431548834,-0.370574370445369,-0.421322156211804,-0.893477426191638,-0.663943109222109,-0.233233159222717,-0.72050450586295,-1.01361663122046,0.115280109183768,0.248927560248706,-0.600389952762328,0.0610604297690212,-0.262141896562535,0.113888807272375,-0.262850472512983,0.00615303424107013,0.510812747951554,-0.183825711177574,0.599459884112265,0.0739874963770264,-0.22390418293737,0.259505255698679,0.0496558011859914,-0.171115855816485,-0.232157288270223,-0.0264560415018842,-0.0931370075794437,-0.0368017714142582,0.113584806342465,-0.117706347011137,-0.00484066254991761
"AggsbachB_01_11","AggsbachB_01_11","AggsbachB",8,26,3.2,158,72,64,246,4,3,12.5,48,14.3,55,1.1,5.3,66,2.7,34,1.9,74,0.5,-0.1,1.92293843372257,30,"Flechette","Lower Austria",1,-2.51788825595298,-15.6822790959008,-8.76924883264249,-0.361386369837803,-5.4187925538857,2.13405077114974,-0.303888927369105,0.830712276578521,0.838525512505356,1.94463178042366,0.762522172222608,1.3957831923829,-1.90881003306781,-0.69105302226617,-0.839278493060859,-0.877524403506995,-0.212521620106786,-0.0473005416274608,-0.526946560296727,-0.113391571030809,-0.00465309318706188,0.123904659322551,-0.176996006647801,-0.0312409367879376,0.42706164374633,0.175328861767871,0.11825483162362,0.0637534761002128,-0.463574575174466,-0.0113854516512582,0.0117102611615191,0.199899408408729,0.447930288776054,0.207185300524123,-0.0464478237757979,-0.0378916915253914,0.0291474116790972,-0.0678951777739029,0.248699723442882,0.0277320445315103,0.0850150280792008,-0.168373291303092,0.0938962547799436,-0.0311899864618425
"AggsbachB_01_12","AggsbachB_01_12","AggsbachB",7,32,4.6,174,70,73,238,3,4,20.3,63,12.2,38,0.6,4.2,60,3.1,44,1.4,61,0,0.1,1.91284507940688,30,"Flechette","Lower Austria",1,-23.517719316984,2.28961782526969,1.28001498137303,-2.9015454476496,-3.16825867376482,2.69871202576745,-1.44663336255201,0.528197426732611,-1.33971466743529,2.22632047950784,0.6875954334306,1.35713084630539,1.097237358014,-0.144650965029611,1.23630519626896,0.647033862302657,0.709874473340933,0.118871234217991,0.201977493781687,-0.792106387741022,0.93994772406206,-0.0991246317476779,-0.20599495119233,-0.553481819404348,-0.67891536637292,0.00901709960011598,0.418744442805618,-0.212846579953719,0.119965888343656,-0.203588980450541,0.0317256933968133,-0.132839002506973,0.312002549852396,-0.0440724195028975,0.130628607434852,0.184481698963888,0.362846506308667,-0.0554053370764535,-0.0135634960840987,-0.13688767557735,0.215927155197388,-0.09596746406388,0.0778610492844262,-0.0581064720154261
"AggsbachB_01_14","AggsbachB_01_14","AggsbachB",8,37,4.6,252,82,91,276,3,3,15.4,41,22.4,60,1.5,4.5,56,3.9,48,1.2,44,0.1,-1.8,1.99928958796774,30,"Flechette","Lower Austria",1,-51.8726133965247,4.31203621831571,-1.30105457286332,-1.8050006606078,0.0809546016220364,-1.87908250061983,1.21545459980125,0.0400062600070721,-2.38220969832529,0.983064093212895,-2.31480693431713,1.6349523438297,-0.483992329704716,0.213461643200513,-0.410203721365014,0.0562523197428278,-0.408869937972457,-0.451615755652264,0.265524974118995,0.911278489608273,-0.365293451026736,-0.221937867322069,0.848564003250613,0.63997654388439,-0.147440887622818,0.362845239022356,0.0475053768686457,-0.223197223718144,0.299295593871062,-0.341335199819072,-0.588434348946254,0.124531217295356,-0.147786220853361,-0.0169932834330075,-0.289810807235247,0.0414503756328042,0.0295304920978939,-0.179113147356106,-0.0891833875888233,0.203231527810949,-0.149092200014724,-0.0527190404252002,-0.0852026413583295,0.121735460377781
"AggsbachB_01_17","AggsbachB_01_17","AggsbachB",9,36,4,257,68,85,302,3,2,9.5,26,27.5,76,2.9,5,55,4.8,53,1,41,0,-1.6,1.96517066759404,30,"Flechette","Lower Austria",1,-47.5490000909687,4.33821656465234,-6.08655532256293,-2.29362465167738,0.670621930206708,-2.35909630089648,2.36203546708028,0.902603823260998,0.453079203150526,1.23485711301796,1.10539287488553,-0.336783623982327,0.651639378288531,-0.0331343794889496,0.466476767454641,0.2282452699517,0.239081821631111,-0.652858218876171,0.0802694265465446,-0.235697974364441,-0.115256836515512,0.148787536021451,-0.333259825784331,-0.118982234792889,0.665028983510655,0.383492044710142,0.0701733436008002,-0.0670475349018226,-0.374906176151022,-0.0733665561640961,-0.306086347241534,0.0153536373241708,-0.205553188021119,-0.157219808415173,0.164319642154868,-0.122111940606438,-0.00270389638075097,-0.102792479928623,0.0032091420185538,-0.258523685687324,-0.0312624508254052,-0.0617058365007895,-0.0605069757830417,-0.0974040144169897
"AggsbachB_01_18","AggsbachB_01_18","AggsbachB",9,50,5.6,368,77,121,304,3,1,7.5,15,43.1,86,5.7,5,55,4.7,52,1.1,29,0.1,-2.9,1.89581574308865,30,"Flechette","Lower Austria",2,-107.217211046826,0.499719382541593,9.00924011530112,0.602555795337697,1.18411351106889,-5.32171483640489,1.89665453267798,0.270836448131798,-1.673845714558,0.514832451870213,-3.54640524063732,0.931363899626185,-1.12024480954569,0.996089622119453,0.272592681402766,-0.656186248278474,-0.0728526243868784,-0.134877533475338,-0.0922245017859586,0.718892347427082,0.153214452326417,-0.549155696001573,0.764883283322569,0.737030945341051,0.0100424917669996,-0.563027768995434,-0.0757881740758944,0.489134822807696,-0.58657822145456,-0.751985763946493,-0.249824817527711,-0.422056652523594,-0.197518110401896,0.0535108608652012,-0.428796437931993,-0.224669253395896,-0.0661904443705952,-0.212516456818129,0.120191929621508,-0.0732875409457065,-0.0635539356544592,-0.0731256398007205,-0.189427129722593,-0.099458624386096
"AggsbachB_01_19","AggsbachB_01_19","AggsbachB",7,35,5,220,83,84,261,4,3,19.9,56,15.5,44,0.8,4.4,63,3,43,1.5,73,0.2,0,1.98432572033851,30,"Flechette","Lower Austria",1,-40.0632336197435,-1.48073209336094,0.844163769813882,-2.77704997210407,-5.73686079549125,-0.351193482548927,-2.53136429301838,-1.23751546299152,-3.50783940549205,0.582229969826104,1.17535035501847,0.417998702413105,-1.31789311473642,0.812745323103983,-0.153136663768657,-0.13317312382117,0.688042033885348,0.129570205682657,0.419132959392226,-0.135147074871513,0.197779231367618,0.00586314396479697,0.180842097479544,-0.147825899210137,0.438092860610421,0.137300346730027,0.126628072968918,-0.0608699934942033,-0.127313724495864,-0.46056785148901,0.839870524669071,0.102496771075285,-0.227283348794549,0.116834922708155,0.083624378506094,-0.276131794494049,-0.316818735037321,0.0482689811147075,-0.162359155528372,-0.0843977786369852,-0.139212775200385,-0.093748008220476,0.131937488390705,0.0706045769234315
"AggsbachB_01_20","AggsbachB_01_20","AggsbachB",8,32,4,201,75,77,261,3,2,11.6,36,20.9,65,1.8,4,49,4.2,51,1,53,-0.1,-0.9,1.92851001779544,30,"Flechette","Lower Austria",1,-27.2811291911246,6.01285384761391,-3.24214241564477,-4.0361805486336,-0.198543987371875,-1.10156321044391,1.35945915933014,1.25342313740511,-0.878637863335966,0.811085851433085,0.956155336197802,-0.869778347755085,-0.268330338673439,0.854010907154503,-1.3918132520091,-0.962905835858304,0.652846683330393,-0.0621557388095684,-0.123393343057283,0.169547460872317,-0.359483586473805,-0.0747740552189903,0.185692177943115,0.308370521506929,0.30725579448131,-0.0660803174346242,0.445991480055341,-0.244365557572931,0.0653006580872283,0.231896593001969,0.0667696301622721,0.427061693166998,0.0863094597250619,-0.0855425277899435,-0.324677861772802,0.26972376117954,0.143430393645915,0.122105721578185,-0.230203011440466,-0.00768978553135704,-0.0931062762463661,-0.119275603186326,-0.0630993002298683,-0.0339356256933466
"DolniVestonice1_01_02","DolniVestonice1_01_02","DolniVestonice1",11,35,3.2,284,68,84,338,2,2,8.9,25,26.5,75,3,4.1,37,7.4,67,0.5,40,-0.6,-2.8,1.99883893461333,30.4,"Gravette_point","Moravia",1,39.4220482266868,7.02695640261985,-7.18809863180353,-1.69542373009453,3.1484802844875,-4.67110934972685,1.09121125391436,-0.254478340250383,-0.0890143311001175,-0.873042259979285,0.0414119423988726,-0.452351064880159,0.57674193056434,-0.367545952513197,0.611559481991833,0.05769264401296,0.535318081386678,0.436806280805537,-0.196379610784706,0.247318142510025,0.15528443623374,0.486464340913895,0.376490869596945,0.155899656318855,0.0604683333273994,-0.00379208386718922,-0.141220042780364,0.108964833078199,0.02402902386486,0.0622136379254767,0.0770022418962369,-0.0716438516539256,0.134335561848661,0.075790494709261,0.0739310623108667,-0.0948129687841428,-0.0706581608392901,0.08763353586399,0.00432982745868059,-0.0119627271492879,0.206774963375429,0.0767125475119111,0.0297472663421617,0.0599259052785217
"DolniVestonice1_01_03","DolniVestonice1_01_03","DolniVestonice1",10,36,3.6,286,73,89,321,2,2,11.9,32,25,69,2.1,2,20,8,79,0.3,46,-0.4,-2,1.99884449907168,30.4,"Gravette_point","Moravia",1,34.8226050387747,7.76103580123622,-2.77241097542422,-4.32955925422451,5.87074084711222,-2.4712656850961,2.20271447399693,0.255234033529116,-0.5712701041296,0.421866501394906,-0.786552047688873,-0.194734042812327,0.574575972015798,0.471974810802596,-0.459141004496229,-0.592400289221289,0.23791773941843,0.0415372387765019,0.308615073168148,0.22439406450449,0.187857982698827,0.0231905637715309,-0.234560615459995,0.279528573343055,-0.0103109657143317,-0.18395965003544,0.14617094759812,0.200073868295899,-0.242862711967329,-0.0856585991430248,0.0832085406839017,0.0686129903952019,0.0335512324997806,0.0419221114113237,0.086263460531122,0.0205642678127238,-0.0173688148716038,0.134270976135335,-0.0341490076301296,0.00226553183217689,0.00116593831527035,-0.151114358337447,-0.073215632580667,-0.0512307547601065
"DolniVestonice1_01_04","DolniVestonice1_01_04","DolniVestonice1",10,42,4.2,313,70,101,309,4,2,15.9,37,26.7,63,1.7,6.5,64,3.7,37,1.8,44,0.2,-1.1,2.00623555902839,30.4,"Gravette_point","Moravia",1,26.9733116390562,-7.45091621515605,-1.11727757695029,-1.32336684117403,-0.0976744207576067,-0.758305181808874,-0.130638146612176,1.45285561470539,0.704664222512168,0.609540990698431,-0.8406096710703,0.394976391369486,-0.15282009383847,1.25192802544388,0.187780573453561,-0.99948437422417,0.86399968873766,0.618428550826174,-0.349858210812042,0.456889827820906,-0.28561486257156,-0.620225373331241,0.036087576780308,-0.562228786049591,0.669498092375167,0.17148108284174,0.369147907697717,-0.500473863896689,-0.160127055117003,-0.0856723014686514,-0.236346735799564,-0.414964990677446,0.434125177139444,0.155266567917831,-0.290772898073396,0.111006582901767,-0.109084413555491,0.261270938225501,0.0590782027952326,0.433227197031295,0.115156184178708,0.266135638080814,-0.193345706533729,0.0795304493161557
"DolniVestonice1_01_05","DolniVestonice1_01_05","DolniVestonice1",7,29,4.1,178,72,71,250,2,3,13,44,17,58,1.3,1.7,23,6.3,89,0.3,41,-0.7,-1.5,1.96183140299624,30.4,"Gravette_point","Moravia",1,54.4144378320026,11.0944455031635,-2.2090588093385,-1.24082761644883,2.46126755872806,-1.91700482241568,2.2605504307877,0.548890545475649,-0.156317367129311,-0.322731704473147,0.138099781619075,0.796555138584261,0.189025315407954,-0.748998803219341,-0.382225730279223,0.166246463534634,0.58158765326198,0.122361172944064,0.0899809375940141,-0.0337601143332137,0.369804558698026,-0.108223773279751,-0.21758406942765,0.588681719967914,0.317377983149424,-0.255383239066745,-0.0453482638078061,0.351622831993498,0.0997726047421429,0.111176642717701,-0.0749902211794415,-0.0520727283862207,-0.158339080663292,0.159768462423006,-0.218879195407506,-0.15417255256659,-0.0362128188405337,-0.0115252917073642,-0.0231124316083728,-0.167963560147811,0.038800664375487,-0.00605534678371519,0.0846043212692853,0.134290065647762
"DolniVestonice1_01_06","DolniVestonice1_01_06","DolniVestonice1",14,60,4.3,649,73,139,466,3,3,31.3,52,28.9,48,0.9,7.6,54,6.9,48,1.1,52,-0.2,-1.9,1.91114988430895,30.4,"Gravette_point","Moravia",1,-16.8506107171005,4.54866609363134,-1.79479815063217,-3.23087934741705,-0.420458230160595,-1.12239149148546,0.10658369015454,0.209626648631032,-0.886753871045083,-1.65938896000806,1.37936452675966,1.32462905554422,-0.22175419820524,-0.425468091302884,-0.176768577344261,0.485818188093055,-0.389389488940879,-0.0630011785943064,-0.0249667810783965,-0.488676341805008,0.282939368086107,0.317504839441581,0.200004423805807,-0.0500062793867165,0.281162077873888,-0.0504297913231972,0.00902271054923646,-0.193192445404798,-0.169080944850934,-0.0528154080143193,-0.0862021988033876,0.0454927245639989,0.0919311983550559,-0.0437377138029,0.0548809818995715,0.177037474187796,0.00120402554320631,-0.0609806284261741,0.0336873270904322,-0.194624311255809,-0.0679724888754105,0.125095592442587,-0.0816615166816444,0.0880743355094637
"DolniVestonice1_01_07","DolniVestonice1_01_07","DolniVestonice1",15,72,4.8,827,75,165,501,3,2,22.4,31,50.2,69,2.2,8,53,7.2,48,1.1,36,-0.4,-3.7,1.98800074194936,30.4,"Gravette_point","Moravia",1,-45.3586359259428,15.8373977929611,3.23672631891441,1.1471874376363,-1.97133696595519,-3.22803820414297,0.587869244791355,-2.43802722679625,-0.860611488835845,1.20349783826023,1.12254450782062,2.19575317525751,1.14392663668675,1.37990739245693,-0.958172898767635,0.223655752184557,-0.765931040839919,0.232013943679704,0.0245198238102249,-0.185157053501025,0.362378863787438,0.678781161531938,0.243356661829017,0.8663478516551,0.00422188761464428,0.322875049780799,-0.246119903628678,0.19181065997134,-0.102188298320318,-0.0819977645519236,-0.301959057528065,0.0807267636953647,-0.250705669125651,0.166883482125759,-0.0731589248092224,-0.176445129425402,-0.0651742337029719,0.177561474594775,-0.0805219727873952,0.266555757652075,-0.128289863945494,0.137784518545248,0.0974153646103375,-0.0795870059045736
"DolniVestonice1_01_08","DolniVestonice1_01_08","DolniVestonice1",8,43,5.4,280,71,96,291,3,2,15.6,36,27.6,64,1.8,4.4,55,4.3,53,1,35,0.2,-2.2,1.97767293511721,30.4,"Gravette_point","Moravia",1,25.5072768218473,-0.038444542157877,3.0002341093634,-0.422986952277458,0.921397546556987,-1.0913072674967,1.48636542091694,0.772522675278147,-0.210411219253161,-0.165495725067196,-1.19272461145544,0.374685417121322,-0.0196339576383164,0.123283511819533,-0.660392075832138,0.0939859700622663,-0.654250974319453,-0.0897695985978876,0.0344905424752521,0.0307138775553671,-0.229954836611345,-0.120674330732705,0.0953907592702908,0.170100125484258,-0.197270398933273,0.0243758761051338,0.29634340812125,0.0856491228974391,-0.132598564582409,-0.225977882445477,0.0354126917316239,-0.0956700146881884,0.270383971463248,0.108678858042824,0.150690758467665,0.0905995796050088,0.138392594454993,-0.0037763165665236,-0.0487552065527272,-0.0386303301446547,0.103610254716482,-0.0449454306236742,0.00563677092186191,-0.0183742933342935
"DolniVestonice1_01_09","DolniVestonice1_01_09","DolniVestonice1",12,58,4.8,599,75,136,440,3,3,23.7,40,35,60,1.5,5.9,49,6.9,57,0.9,47,-0.2,-2,1.89821056069564,30.4,"Gravette_point","Moravia",1,-14.1609738555772,-1.31635422219181,0.346312990697705,-4.02432622054992,2.26322601480169,-1.31482054850008,-0.261879020731764,-0.331857172423593,-1.62648308669998,-0.164897106917862,0.124799041502104,1.31763682443042,0.0256427072968045,-0.520050864075445,0.0303747199613459,-0.0097942222956354,-0.748744284239647,-0.576451815481251,0.687017821820298,-0.0718543891134076,0.173494798179492,0.504320129017122,-0.389745253404076,-0.260835426848956,0.0980050024678077,-0.180549509110503,0.297857925139552,-0.141380693205336,0.118184685216862,0.191281760111714,0.0249508533958568,0.356996012392263,-0.274959042449359,0.133831059424169,-0.0259261332903162,-0.180941727867737,0.103346648208814,-0.116031488004907,0.0172427584544056,0.157664890277882,0.06947797999787,0.0545792954675875,0.0097554291037804,0.00478675859478085
"DolniVestonice1_01_10","DolniVestonice1_01_10","DolniVestonice1",12,72,6,762,78,163,467,3,2,20,27,52.2,72,2.6,6.7,55,6.3,52,1.1,36,-0.4,-3.7,1.9648900968302,30.4,"Gravette_point","Moravia",1,-44.687186636046,4.48232099021138,6.80060378372639,0.673409560367377,-0.225636311243058,-0.923128395525215,1.22321084733862,0.821515339896845,-2.17265051610583,-1.13113436890875,-1.59442237685617,0.875488776904773,0.330108165447706,-0.109434805839024,-0.0488319432404233,0.760437692475419,-0.929534415686838,-1.00121883694939,-0.750048799197461,0.602067131920398,-0.215082041895234,0.309968974807157,0.146435302782744,0.406699244657673,-0.0706075705510882,-0.506781622273158,-0.659041357832402,-0.0208884656430376,-0.000414617168939795,-0.46772845247124,0.454910888293093,0.0856135879269972,0.134085126251187,-0.2209368082031,0.0412796793934623,0.159263166326323,-0.0279265325842301,0.136872597676587,0.0307167295224914,-0.0182928883893996,0.108086942344946,-0.0851143607412757,0.0696012162518071,0.180710618527972
"DolniVestonice1_01_11","DolniVestonice1_01_11","DolniVestonice1",14,50,3.6,557,70,126,442,3,2,16.7,33,33.9,67,2,8.5,60,6.5,46,1.3,51,0,-2.2,1.92236690730055,30.4,"Gravette_point","Moravia",1,2.59161258434635,6.17280014887543,-8.32187106608097,-1.00676217972193,-3.14342991244935,0.326517308892255,2.19098449104001,1.40780060081162,-1.80119368225801,0.326347552542593,0.131988843717039,0.718375700398744,-0.480225594751789,-1.66391629472527,-1.18628899049852,-0.124177164600368,-1.24334092190671,-0.441876049960176,-0.590912750997415,0.528284562127096,1.01799247530679,0.049807457253963,-0.0117635926583515,0.650385272501697,0.463123774157123,-0.640011770933373,0.872539536512346,-0.15822477488242,0.276607573948648,0.170255092349429,0.27422205663266,-0.439097934103982,0.484338150786235,0.337302100555031,-0.360651633980096,-0.125401267736429,-0.097389269759058,-0.265286532368432,0.0878804455993692,0.00991675724037014,0.205348589309313,0.0908417255572141,0.019976740138059,0.0340812795935869
"DolniVestonice1_01_12","DolniVestonice1_01_12","DolniVestonice1",13,73,5.6,752,73,163,461,3,3,33.1,45,40.2,55,1.2,6.7,51,7,54,0.9,35,0,-3.3,1.97162419515908,30.4,"Abri_Audi_knife","Moravia",1,-44.109296807392,5.85538114411366,6.98036581501817,-0.142291814539592,-0.27131530641583,-1.39229404753653,1.14612490897176,-0.209380055212962,1.30870799426662,0.260291087937341,-1.95145830109035,0.490153805824743,1.20042500918482,0.197477652140243,0.277757338831798,0.391676888748642,-0.0452986113781133,-0.453385390091404,-0.0264009207389675,-0.308474769705335,-0.207753851695048,0.12455308944354,0.193085585267773,0.330517102912626,-0.0409592543485661,-0.158037565913835,-0.0636754103753889,-0.117986215680331,-0.12315786665993,-0.1222386919069,0.179054204745454,0.337483039930525,0.321705525447094,0.171986015444441,0.0124822532240675,0.255314171808136,0.0343188017436658,0.0578235100308768,-0.00706355782220331,-0.103428184010209,-0.113634085374726,-0.0138483713504783,-0.0956261583773202,-0.00148184262771753
