"","X","site","width","length","l_w_index","area","percent_area","contour_length","area_contour_ratio","position_longest_extend","position_widest_extend","length_lower_part","relative_length_lower_part","length_upper_part","relative_length_upper_part","upper_to_lower_ratio","width_left_part","relative_width_left_part","width_right_part","relative_width_right_part","left_to_right_ratio","tip_angle","MP_CM_x_offset","MP_CM_y_offset","FD","ka_cal_BP","typology","region","clust","RDA.RDA1","RDA.PC1"
"AggsbachB_01_01",  1,"AggsbachB", 8,32, 4.0, 216,74, 78,276,4,2,12.5,39,20.4,63,1.6, 5.3, 66, 3.4, 42,  1.6, 57, 0.2,-0.5,1.941217,30.0,"Flechette","Lower Austria",1, 0.149076336,-0.067334076
"AggsbachB_01_02",  2,"AggsbachB", 8,56, 7.0, 386,81,132,292,4,4,42.5,75,14.2,25,0.3, 4.9, 61, 3.3, 41,  1.5, 71, 0.1, 0.1,1.882097,30.0,"Gravette_point","Lower Austria",2,-0.121583763,-0.332679615
"AggsbachB_01_03",  3,"AggsbachB", 5,27, 5.4, 129,81, 67,192,3,2, 9.0,33,18.6,68,2.1, 3.0, 60, 2.9, 58,  1.0, 48, 0.1,-0.7,1.867846,30.0,"Flechette","Lower Austria",1, 0.123293935, 0.046662692
"AggsbachB_01_05",  4,"AggsbachB", 5,27, 5.4, 109,75, 60,181,3,2, 8.0,29,19.5,72,2.4, 2.9, 58, 2.4, 47,  1.2, 38, 0.2,-0.6,1.933519,30.0,"Flechette","Lower Austria",1, 0.090126448, 0.091754250
"AggsbachB_01_08",  5,"AggsbachB", 6,26, 4.3, 123,76, 62,198,4,2, 9.1,34,17.2,66,1.9, 3.7, 61, 2.5, 40,  1.5, 49, 0.1,-0.5,1.882444,30.0,"Flechette","Lower Austria",1, 0.155789896, 0.062750586
"AggsbachB_01_09",  6,"AggsbachB", 7,37, 5.3, 224,76, 86,260,3,2, 9.2,24,28.1,75,3.0, 3.7, 52, 3.6, 51,  1.0, 41, 0.3,-1.2,1.993356,30.0,"Flechette","Lower Austria",1, 0.077388923,-0.129705961
"AggsbachB_01_11",  7,"AggsbachB", 8,26, 3.2, 158,72, 64,246,4,3,12.5,48,14.3,55,1.1, 5.3, 66, 2.7, 34,  1.9, 74, 0.5,-0.1,1.922938,30.0,"Flechette","Lower Austria",1, 0.256657441, 0.044799584
"AggsbachB_01_12",  8,"AggsbachB", 7,32, 4.6, 174,70, 73,238,3,4,20.3,63,12.2,38,0.6, 4.2, 60, 3.1, 44,  1.4, 61, 0.0, 0.1,1.912845,30.0,"Flechette","Lower Austria",1, 0.035479003, 0.019769620
"AggsbachB_01_14",  9,"AggsbachB", 8,37, 4.6, 252,82, 91,276,3,3,15.4,41,22.4,60,1.5, 4.5, 56, 3.9, 48,  1.2, 44, 0.1,-1.8,1.999290,30.0,"Flechette","Lower Austria",1, 0.159288621,-0.226133278
"AggsbachB_01_17", 10,"AggsbachB", 9,36, 4.0, 257,68, 85,302,3,2, 9.5,26,27.5,76,2.9, 5.0, 55, 4.8, 53,  1.0, 41, 0.0,-1.6,1.965171,30.0,"Flechette","Lower Austria",1, 0.023585592,-0.197967411
"AggsbachB_01_18", 11,"AggsbachB", 9,50, 5.6, 368,77,121,304,3,1, 7.5,15,43.1,86,5.7, 5.0, 55, 4.7, 52,  1.1, 29, 0.1,-2.9,1.895816,30.0,"Flechette","Lower Austria",2,-0.074319644,-0.477368027
