"","X","site","width","length","l_w_index","area","percent_area","contour_length","area_contour_ratio","position_longest_extend","position_widest_extend","length_lower_part","relative_length_lower_part","length_upper_part","relative_length_upper_part","upper_to_lower_ratio","width_left_part","relative_width_left_part","width_right_part","relative_width_right_part","left_to_right_ratio","tip_angle","MP_CM_x_offset","MP_CM_y_offset","FD","ka_cal_BP","typology","region","clust","RDA.RDA1","RDA.PC1"
"AggsbachB_01_02",  2,"AggsbachB", 8,56,7.0, 386,81,132,292,4,4,42.5,75,14.2,25,0.3, 4.9, 61, 3.3, 41,  1.5, 71, 0.1, 0.1,1.882097,30.0,"Gravette_point","Lower Austria",2,-0.148530609, 0.176865952
"AggsbachB_01_18", 11,"AggsbachB", 9,50,5.6, 368,77,121,304,3,1, 7.5,15,43.1,86,5.7, 5.0, 55, 4.7, 52,  1.1, 29, 0.1,-2.9,1.895816,30.0,"Flechette","Lower Austria",2,-0.279929924, 0.268365667
"DolniVestonice1_06_01", 26,"DolniVestonice1",13,42,3.2, 412,71,105,392,3,2,11.5,27,31.5,74,2.7, 5.9, 45, 7.2, 55,  0.8, 44,-0.2,-2.7,1.931172,30.4,"Backed_blade","Moravia",2,-0.230427186, 0.228806005
"DolniVestonice1_08_12", 32,"DolniVestonice1",10,90,9.0, 761,71,199,382,2,2,34.1,37,56.7,62,1.7, 3.0, 29, 7.0, 70,  0.4, 32,-0.4,-0.7,1.944860,30.4,"Backed_blade","Moravia",2,-0.555944061, 0.692030353
"DolniVestonice1_10_04", 34,"DolniVestonice1_10",22,94,4.3,1672,75,216,774,3,2,29.1,30,65.2,69,2.2,11.7, 53,11.3, 51,  1.0, 47, 0.2,-2.6,1.876505,30.4,"Chatelperron_point","Moravia",2,-1.401005735, 1.465496116
"Milovice1_01_01",135,"Milovice1", 6,40,6.7, 197,80, 89,221,4,4,24.4,60,16.3,40,0.7, 4.0, 66, 2.1, 34,  1.9, 52, 0.1, 0.1,1.877162,29.9,"Microgravette_point","Moravia",2, 0.134614635,-0.134713000
"Milovice1_01_02",136,"Milovice1", 6,33,5.5, 169,80, 73,231,4,3,14.5,43,18.5,56,1.3, 3.8, 63, 2.4, 40,  1.6, 52, 0.2,-0.1,1.998978,29.9,"Microgravette_point","Moravia",2, 0.202152034,-0.334346334
"Milovice1_01_03",137,"Milovice1", 5,40,8.0, 179,79, 88,203,3,3,22.4,55,17.7,44,0.8, 2.2, 44, 3.3, 65,  0.7, 46,-0.1, 0.0,1.867998,29.9,"Microgravette_point","Moravia",2, 0.194869166,-0.148942153
"Milovice1_01_05",138,"Milovice1", 6,41,6.8, 200,79, 91,219,4,2,15.3,37,25.8,62,1.7, 3.9, 65, 2.1, 34,  1.9, 39,-0.1, 0.0,1.879106,29.9,"Microgravette_point","Moravia",2, 0.156710291,-0.139442038
"Milovice1_01_06",139,"Milovice1", 6,41,6.8, 210,80, 92,228,2,3,21.0,51,20.5,50,1.0, 2.1, 34, 4.2, 70,  0.5, 46,-0.5, 0.0,1.884948,29.9,"Point","Moravia",2, 0.222629620,-0.170971709
"Milovice1_02_04",142,"Milovice1",19,67,3.5, 957,74,155,617,4,3,33.4,49,33.7,50,1.0,11.8, 61, 7.3, 38,  1.6, 58, 0.5,-1.3,1.974552,29.9,"Large_Point","Moravia",2,-0.819288075, 0.626906920
"Milovice1_02_06",143,"Milovice1",16,88,5.5,1120,80,206,543,3,3,36.4,41,51.8,58,1.4, 9.2, 57, 7.3, 45,  1.3, 40,-0.8,-2.8,1.896981,29.9,"Point","Moravia",2,-0.885343382, 0.956375666
"Milovice1_03_01",144,"Milovice1", 8,37,4.6, 242,71, 88,275,3,2,11.0,29,26.4,71,2.4, 4.5, 55, 4.5, 55,  1.0, 38,-0.1,-1.9,1.865246,29.9,"Point","Moravia",2, 0.029775331,-0.049517085
"Milovice1_03_02",145,"Milovice1",12,46,3.8, 407,67,106,383,3,2,12.1,26,34.8,75,2.9, 5.8, 48, 6.9, 57,  0.8, 36,-0.2,-2.9,1.917749,29.9,"Point","Moravia",2,-0.230794154, 0.149905243
"Milovice1_03_05",147,"Milovice1", 9,40,4.4, 222,60, 91,243,4,2,13.0,32,27.1,67,2.1, 5.9, 65, 3.1, 34,  1.9, 23, 0.3,-2.4,1.864410,29.9,"Point","Moravia",2,-0.090034182, 0.008300530
"Milovice1_03_06",148,"Milovice1",10,45,4.5, 320,65,108,296,3,2,11.0,24,34.5,76,3.1, 5.7, 56, 5.0, 50,  1.1, 32, 0.2,-2.3,1.887470,29.9,"Point","Moravia",2,-0.191189892, 0.110954537
"Milovice1_03_10",151,"Milovice1",12,52,4.3, 450,64,120,375,3,3,21.2,40,31.0,59,1.5, 6.8, 56, 6.1, 51,  1.1, 38,-0.1,-1.7,1.922552,29.9,"Non_backed_microlith","Moravia",2,-0.243898207, 0.154246912
"Pavlov1_01_04",155,"Pavlov1", 5,20,4.0,  80,69, 47,170,2,4,12.7,63, 7.8,38,0.6, 1.5, 29, 4.0, 79,  0.4, 75,-0.3, 0.5,1.959257,30.7,"Non_backed_microlith","Moravia",2, 0.529356379,-0.466761321
"Pavlov1_01_05",156,"Pavlov1", 5,26,5.2, 102,65, 61,167,1,3,11.8,45,14.6,56,1.2, 0.0,  0, 5.2,103,  0.0, 41,-0.4,-0.5,2.035685,30.7,"Non_backed_microlith","Moravia",2, 0.433864336,-0.411601862
"Pavlov1_01_06",157,"Pavlov1", 8,27,3.4, 187,70, 69,271,4,3,12.4,45,15.6,57,1.3, 7.3, 91, 1.6, 19,  4.6, 58, 0.3,-0.8,1.923417,30.7,"Non_backed_microlith","Moravia",2, 0.144492863,-0.118725746
"Pavlov1_02_01",160,"Pavlov1", 6,22,3.7, 104,71, 53,196,1,3,12.0,54,10.8,48,0.9, 0.7, 12, 5.7, 94,  0.1, 62,-0.7, 0.2,1.902449,30.7,"Non_backed_microlith","Moravia",2, 0.516562573,-0.372396858
"Pavlov1_02_02",161,"Pavlov1", 7,27,3.9, 146,73, 65,224,1,3,14.1,52,13.1,48,0.9, 1.3, 18, 5.9, 84,  0.2, 54,-0.2,-0.5,1.915861,30.7,"Non_backed_microlith","Moravia",2, 0.290062762,-0.197338306
"Pavlov1_02_03",162,"Pavlov1", 5,17,3.4,  69,63, 44,156,2,3, 9.3,54, 8.6,50,0.9, 0.6, 12, 4.7, 94,  0.1, 55,-0.2,-0.3,2.009392,30.7,"Non_backed_microlith","Moravia",2, 0.510216642,-0.516892083
"Pavlov1_02_05",164,"Pavlov1", 6,23,3.8, 106,70, 55,192,5,3,11.4,49,11.9,51,1.0, 5.6, 94, 0.6,  9, 10.1, 49, 0.5,-0.5,1.899243,30.7,"Backed_implements","Moravia",2, 0.248842213,-0.211432528
"Pavlov1_05_12",176,"Pavlov1", 6,26,4.3, 129,72, 61,211,2,4,18.8,72, 7.3,27,0.4, 1.2, 20, 5.2, 86,  0.2,113,-0.5, 1.4,1.932190,30.7,"Non_backed_microlith","Moravia",2, 0.506753940,-0.396029108
"Pavlov1_05_19",183,"Pavlov1", 8,28,3.5, 174,67, 68,255,1,3,15.5,55,12.9,46,0.8, 1.3, 16, 7.6, 95,  0.2, 62,-0.7, 0.5,1.979946,30.7,"Non_backed_microlith","Moravia",2, 0.417587282,-0.353756046
"Pavlov1_05_20",184,"Pavlov1", 8,28,3.5, 186,69, 70,265,2,4,17.5,62,11.3,40,0.6, 2.1, 25, 6.9, 85,  0.3, 79,-0.8, 0.3,1.981406,30.7,"Non_backed_microlith","Moravia",2, 0.411573664,-0.335143108
"Pavlov1_05_22",186,"Pavlov1", 7,29,4.1, 163,65, 70,232,1,4,18.5,63,10.6,36,0.6, 0.0,  0, 7.9,112,  0.0, 64,-0.8, 0.9,1.963797,30.7,"Non_backed_microlith","Moravia",2, 0.480629865,-0.384400566
"Pavlov1_06_04",194,"Pavlov1", 7,26,3.7, 143,71, 62,230,2,3,11.6,44,15.1,58,1.3, 2.1, 30, 5.0, 71,  0.4, 59,-0.3,-0.5,1.974235,30.7,"Non_backed_microlith","Moravia",2, 0.333134391,-0.287058108
"Pavlov1_06_05",195,"Pavlov1", 6,22,3.7, 111,75, 54,205,1,4,15.9,72, 6.8,31,0.4, 0.9, 15, 5.5, 92,  0.2, 90,-0.5, 0.6,1.948739,30.7,"Non_backed_microlith","Moravia",2, 0.496546246,-0.403632748
"Pavlov1_07_04",199,"Pavlov1", 7,40,5.7, 219,70, 92,238,4,4,25.4,63,15.0,37,0.6, 5.1, 73, 2.0, 28,  2.6, 47, 0.2,-0.9,1.896249,30.7,"Non_backed_microlith","Moravia",2, 0.046392843, 0.055032368
"Pavlov1_07_05",200,"Pavlov1", 6,42,7.0, 216,83,102,211,3,3,22.5,53,19.8,47,0.9, 2.4, 40, 3.9, 64,  0.6, 48, 0.2,-0.7,1.865032,30.7,"Non_backed_microlith","Moravia",2, 0.014717481, 0.158305640
"Pavlov1_08_04",204,"Pavlov1", 5,19,3.8,  73,66, 46,158,2,2, 7.4,38,11.7,61,1.6, 1.3, 26, 3.9, 77,  0.3, 48,-0.2,-0.4,1.992925,30.7,"Non_backed_microlith","Moravia",2, 0.478112744,-0.459646542
