ID,site,width,length,l_w_index,area,percent_area,contour_length,area_contour_ratio,upper_to_lower_ratio,left_to_right_ratio,tip_angle,MP_CM_x_offset,MP_CM_y_offset,typology,reference,ka_cal_BP,region,filter
AggsbachB_01_01,AggsbachB,8.7,32.9,3.79,216.4,74.0,78,277.4,1.6,1.6,57.9,0.2,-0.5,Flechette,"Otte, 1981",30.0,Lower Austria,1
AggsbachB_01_02,AggsbachB,8.2,56.8,6.92,386.4,81.0,132,292.7,0.3,1.5,71.6,0.1,0.1,Gravette_point,"Otte, 1981",30.0,Lower Austria,1
AggsbachB_01_03,AggsbachB,5.9,27.5,4.63,129.4,81.0,67,193.1,2.1,1.0,48.3,0.1,-0.7,Flechette,"Otte, 1981",30.0,Lower Austria,1
AggsbachB_01_04,AggsbachB,7.6,31.9,4.17,194.0,77.0,76,255.2,1.8,1.1,55.6,0.1,-0.5,Flechette,"Otte, 1981",30.0,Lower Austria,0
AggsbachB_01_05,AggsbachB,5.3,27.5,5.21,109.8,75.0,60,183.1,2.4,1.2,38.9,0.2,-0.6,Flechette,"Otte, 1981",30.0,Lower Austria,1
AggsbachB_01_06,AggsbachB,6.7,35.4,5.28,184.5,77.0,82,225.0,1.2,1.6,51.7,0.1,-0.5,Flechette,"Otte, 1981",30.0,Lower Austria,0
AggsbachB_01_07,AggsbachB,6.4,31.7,4.94,163.3,80.0,75,217.8,1.3,1.6,57.5,0.1,-0.2,Flechette,"Otte, 1981",30.0,Lower Austria,0
AggsbachB_01_08,AggsbachB,6.1,26.2,4.28,123.5,76.0,62,199.1,1.9,1.5,49.8,0.1,-0.5,Flechette,"Otte, 1981",30.0,Lower Austria,1
AggsbachB_01_09,AggsbachB,7.3,37.4,5.14,224.5,77.0,86,261.0,3.0,1.0,41.4,0.3,-1.2,Flechette,"Otte, 1981",30.0,Lower Austria,1
AggsbachB_01_10,AggsbachB,6.6,39.7,6.01,214.0,84.0,93,230.1,0.9,1.0,53.5,0.1,0.1,Flechette,"Otte, 1981",30.0,Lower Austria,0
AggsbachB_01_11,AggsbachB,8.0,26.9,3.35,158.8,72.0,64,248.2,1.1,1.9,74.2,0.5,-0.1,Flechette,"Otte, 1981",30.0,Lower Austria,1
AggsbachB_01_12,AggsbachB,7.4,32.5,4.41,174.3,71.0,73,238.8,0.6,1.4,61.6,0.0,0.1,Flechette,"Otte, 1981",30.0,Lower Austria,1
AggsbachB_01_13,AggsbachB,8.3,38.0,4.58,231.1,78.0,93,248.5,2.1,3.2,43.6,0.0,-1.3,Flechette,"Otte, 1981",30.0,Lower Austria,0
AggsbachB_01_14,AggsbachB,8.4,37.7,4.49,251.3,82.0,94,267.3,1.4,1.1,43.0,0.1,-1.9,Flechette,"Otte, 1981",30.0,Lower Austria,1
AggsbachB_01_15,AggsbachB,10.3,31.8,3.09,229.6,69.0,78,294.4,2.3,1.1,47.4,0.3,-1.9,Flechette,"Otte, 1981",30.0,Lower Austria,0
AggsbachB_01_16,AggsbachB,6.8,30.7,4.51,157.1,74.0,72,218.2,4.3,1.2,38.2,0.4,-1.1,Flechette,"Otte, 1981",30.0,Lower Austria,0
AggsbachB_01_17,AggsbachB,9.8,37.0,3.77,257.9,69.0,85,303.4,2.9,1.0,41.8,0.0,-1.6,Flechette,"Otte, 1981",30.0,Lower Austria,1
AggsbachB_01_18,AggsbachB,9.7,50.7,5.21,368.8,77.0,121,304.8,5.7,1.1,30.0,0.1,-2.9,Flechette,"Otte, 1981",30.0,Lower Austria,1
AggsbachB_01_19,AggsbachB,7.5,35.4,4.75,220.5,84.0,84,262.5,0.8,1.5,73.7,0.2,0.0,Flechette,"Otte, 1981",30.0,Lower Austria,1
AggsbachB_01_20,AggsbachB,8.1,32.5,4.01,201.0,75.0,77,261.1,1.8,1.0,53.1,-0.1,-0.9,Flechette,"Otte, 1981",30.0,Lower Austria,1
