ID,filter
AggsbachB_01_01,1
AggsbachB_01_02,1
AggsbachB_01_03,1
AggsbachB_01_04,0
AggsbachB_01_05,1
AggsbachB_01_06,0
AggsbachB_01_07,0
AggsbachB_01_08,1
AggsbachB_01_09,1
AggsbachB_01_10,0
AggsbachB_01_11,1
AggsbachB_01_12,1
AggsbachB_01_13,0
AggsbachB_01_14,1
AggsbachB_01_15,0
AggsbachB_01_16,0
AggsbachB_01_17,1
AggsbachB_01_18,1
AggsbachB_01_19,1
AggsbachB_01_20,1
BorsiceChrastka_01_01,0
BorsiceChrastka_01_02,0
DolniVestonice1_01_01,0
DolniVestonice1_01_02,1
DolniVestonice1_01_03,1
DolniVestonice1_01_04,1
DolniVestonice1_01_05,1
DolniVestonice1_01_06,1
DolniVestonice1_01_07,1
DolniVestonice1_01_08,1
DolniVestonice1_01_09,1
DolniVestonice1_01_10,1
DolniVestonice1_01_11,1
DolniVestonice1_01_12,1
DolniVestonice1_01_13,1
DolniVestonice1_02_01,0
DolniVestonice1_02_02,0
DolniVestonice1_02_03,0
DolniVestonice1_02_04,0
DolniVestonice1_02_05,0
DolniVestonice1_02_06,0
DolniVestonice1_02_07,0
DolniVestonice1_02_08,0
DolniVestonice1_02_09,0
DolniVestonice1_03_01,0
DolniVestonice1_03_02,0
DolniVestonice1_03_03,0
DolniVestonice1_03_04,0
DolniVestonice1_03_05,0
DolniVestonice1_03_06,0
DolniVestonice1_03_07,0
DolniVestonice1_04_01,0
DolniVestonice1_04_02,0
DolniVestonice1_05_01,0
DolniVestonice1_05_02,0
DolniVestonice1_05_03,0
DolniVestonice1_05_04,0
DolniVestonice1_06_01,1
DolniVestonice1_06_02,0
DolniVestonice1_07_01,0
DolniVestonice1_07_02,0
DolniVestonice1_07_03,1
DolniVestonice1_07_04,0
DolniVestonice1_07_05,0
DolniVestonice1_07_06,0
DolniVestonice1_07_07,0
DolniVestonice1_07_08,0
DolniVestonice1_07_09,1
DolniVestonice1_07_10,1
DolniVestonice1_07_11,0
DolniVestonice1_07_12,0
DolniVestonice1_07_13,0
DolniVestonice1_07_14,0
DolniVestonice1_07_15,0
DolniVestonice1_07_16,0
DolniVestonice1_08_01,0
DolniVestonice1_08_02,0
DolniVestonice1_08_03,0
DolniVestonice1_08_04,1
DolniVestonice1_08_05,0
DolniVestonice1_08_06,0
DolniVestonice1_08_07,1
DolniVestonice1_08_08,0
DolniVestonice1_08_09,0
DolniVestonice1_08_10,0
DolniVestonice1_08_11,0
DolniVestonice1_08_12,1
DolniVestonice1_08_13,1
DolniVestonice1_08_14,0
DolniVestonice1_08_15,0
DolniVestonice1_09_01,0
DolniVestonice1_09_02,0
DolniVestonice1_09_03,0
DolniVestonice1_09_04,0
DolniVestonice1_09_05,0
DolniVestonice1_09_06,0
DolniVestonice1_10_01,0
DolniVestonice1_10_02,0
DolniVestonice1_10_03,0
DolniVestonice1_10_04,1
DolniVestonice1_10_05,0
DolniVestonice1_10_06,0
DolniVestonice1_10_07,0
DolniVestonice1_10_08,0
DolniVestonice1_10_09,0
DolniVestonice1_10_10,0
GrubKranawetberg_01_01,1
GrubKranawetberg_01_02,1
GrubKranawetberg_01_03,1
GrubKranawetberg_01_04,1
GrubKranawetberg_01_05,1
GrubKranawetberg_01_06,1
GrubKranawetberg_01_07,1
GrubKranawetberg_01_08,1
GrubKranawetberg_01_09,1
GrubKranawetberg_01_10,1
GrubKranawetberg_01_11,1
GrubKranawetberg_01_12,1
GrubKranawetberg_01_13,1
GrubKranawetberg_01_14,1
GrubKranawetberg_01_15,1
GrubKranawetberg_01_16,1
GrubKranawetberg_01_17,1
GrubKranawetberg_01_18,1
GrubKranawetberg_01_19,1
GrubKranawetberg_01_20,1
GrubKranawetberg_01_21,1
GrubKranawetberg_01_22,1
GrubKranawetberg_01_23,1
GrubKranawetberg_01_24,1
GrubKranawetberg_01_25,1
GrubKranawetberg_01_26,1
GrubKranawetberg_01_27,1
GrubKranawetberg_01_28,1
GrubKranawetberg_01_29,1
GrubKranawetberg_02_01,1
GrubKranawetberg_02_02,1
GrubKranawetberg_02_03,1
GrubKranawetberg_02_04,1
GrubKranawetberg_02_05,1
GrubKranawetberg_02_06,1
GrubKranawetberg_02_07,1
GrubKranawetberg_02_08,1
GrubKranawetberg_02_09,1
GrubKranawetberg_03_01,1
GrubKranawetberg_03_02,1
GrubKranawetberg_03_03,1
GrubKranawetberg_03_04,1
GrubKranawetberg_03_05,1
GrubKranawetberg_03_06,1
GrubKranawetberg_04_01,1
GrubKranawetberg_04_02,1
GrubKranawetberg_04_03,1
GrubKranawetberg_04_04,1
GrubKranawetberg_04_05,1
GrubKranawetberg_04_06,1
GrubKranawetberg_04_07,1
GrubKranawetberg_04_08,1
GrubKranawetberg_04_09,1
GrubKranawetberg_04_10,1
GrubKranawetberg_04_11,1
GrubKranawetberg_04_12,1
GrubKranawetberg_04_13,1
GrubKranawetberg_04_14,1
GrubKranawetberg_04_15,1
GrubKranawetberg_04_16,1
GrubKranawetberg_04_17,1
GrubKranawetberg_04_18,1
GrubKranawetberg_04_19,1
GrubKranawetberg_04_20,1
GrubKranawetberg_04_21,1
GrubKranawetberg_04_22,1
GrubKranawetberg_04_23,1
GrubKranawetberg_04_24,1
GrubKranawetberg_04_25,1
GrubKranawetberg_04_26,1
GrubKranawetberg_04_27,1
GrubKranawetberg_05_01,1
GrubKranawetberg_05_02,1
GrubKranawetberg_05_03,1
GrubKranawetberg_05_04,1
GrubKranawetberg_05_05,1
GrubKranawetberg_05_06,1
GrubKranawetberg_05_07,1
GrubKranawetberg_05_08,1
GrubKranawetberg_05_09,1
GrubKranawetberg_05_10,1
GrubKranawetberg_05_11,1
GrubKranawetberg_05_12,1
GrubKranawetberg_06_01,1
GrubKranawetberg_06_02,1
GrubKranawetberg_06_03,1
GrubKranawetberg_06_04,1
GrubKranawetberg_06_05,1
GrubKranawetberg_06_06,1
GrubKranawetberg_06_07,1
GrubKranawetberg_06_08,1
GrubKranawetberg_06_09,1
GrubKranawetberg_06_10,1
GrubKranawetberg_06_11,1
GrubKranawetberg_06_12,1
GrubKranawetberg_06_13,1
GrubKranawetberg_06_14,1
GrubKranawetberg_06_15,1
GrubKranawetberg_06_16,1
GrubKranawetberg_06_17,1
JarosovPodvrsta_01_01,0
JarosovPodvrsta_01_02,0
JarosovPodvrsta_01_03,0
JarosovPodvrsta_01_04,0
KremsWachtberg_01_01,0
KremsWachtberg_01_02,0
KremsWachtberg_01_03,0
KremsWachtberg_01_04,0
KremsWachtberg_01_05,0
KremsWachtberg_01_06,0
KremsWachtberg_01_07,0
KremsWachtberg_01_08,0
KremsWachtberg_01_09,0
KremsWachtberg_01_10,0
KremsWachtberg_02_01,0
KremsWachtberg_02_02,0
KremsWachtberg_02_03,0
Milovice1_01_01,1
Milovice1_01_02,1
Milovice1_01_03,1
Milovice1_01_04,0
Milovice1_01_05,1
Milovice1_01_06,1
Milovice1_01_07,1
Milovice1_02_01,0
Milovice1_02_02,0
Milovice1_02_03,1
Milovice1_02_04,1
Milovice1_02_05,0
Milovice1_02_06,1
Milovice1_03_01,1
Milovice1_03_02,1
Milovice1_03_03,0
Milovice1_03_04,1
Milovice1_03_05,1
Milovice1_03_06,1
Milovice1_03_07,0
Milovice1_03_08,1
Milovice1_03_09,1
Milovice1_03_10,1
Pavlov1_01_01,1
Pavlov1_01_02,1
Pavlov1_01_03,1
Pavlov1_01_04,1
