ID,site,typology,reference,ka_cal_BP,region,long,lat
AggsbachB_01_01,AggsbachB,Flechette,"Otte, 1981",30,Lower Austria,15.402609,48.297059
AggsbachB_01_02,AggsbachB,Gravette_point,"Otte, 1981",30,Lower Austria,15.402609,48.297059
AggsbachB_01_03,AggsbachB,Flechette,"Otte, 1981",30,Lower Austria,15.402609,48.297059
AggsbachB_01_04,AggsbachB,Flechette,"Otte, 1981",30,Lower Austria,15.402609,48.297059
AggsbachB_01_05,AggsbachB,Flechette,"Otte, 1981",30,Lower Austria,15.402609,48.297059
AggsbachB_01_06,AggsbachB,Flechette,"Otte, 1981",30,Lower Austria,15.402609,48.297059
AggsbachB_01_07,AggsbachB,Flechette,"Otte, 1981",30,Lower Austria,15.402609,48.297059
AggsbachB_01_08,AggsbachB,Flechette,"Otte, 1981",30,Lower Austria,15.402609,48.297059
AggsbachB_01_09,AggsbachB,Flechette,"Otte, 1981",30,Lower Austria,15.402609,48.297059
AggsbachB_01_10,AggsbachB,Flechette,"Otte, 1981",30,Lower Austria,15.402609,48.297059
AggsbachB_01_11,AggsbachB,Flechette,"Otte, 1981",30,Lower Austria,15.402609,48.297059
AggsbachB_01_12,AggsbachB,Flechette,"Otte, 1981",30,Lower Austria,15.402609,48.297059
AggsbachB_01_13,AggsbachB,Flechette,"Otte, 1981",30,Lower Austria,15.402609,48.297059
AggsbachB_01_14,AggsbachB,Flechette,"Otte, 1981",30,Lower Austria,15.402609,48.297059
AggsbachB_01_15,AggsbachB,Flechette,"Otte, 1981",30,Lower Austria,15.402609,48.297059
AggsbachB_01_16,AggsbachB,Flechette,"Otte, 1981",30,Lower Austria,15.402609,48.297059
AggsbachB_01_17,AggsbachB,Flechette,"Otte, 1981",30,Lower Austria,15.402609,48.297059
AggsbachB_01_18,AggsbachB,Flechette,"Otte, 1981",30,Lower Austria,15.402609,48.297059
AggsbachB_01_19,AggsbachB,Flechette,"Otte, 1981",30,Lower Austria,15.402609,48.297059
AggsbachB_01_20,AggsbachB,Flechette,"Otte, 1981",30,Lower Austria,15.402609,48.297059
BorsiceChrastka_01_01,BorsiceChrastka,Gravette_point,"Klíma, 1963",30.4,Moravia,1,2
BorsiceChrastka_01_02,BorsiceChrastka,Gravette_point,"Klíma, 1963",30.4,Moravia,1,2
DolniVestonice1_01_01,DolniVestonice1,Gravette_point,"Klíma, 1963",30.4,Moravia,16.643692,48.888224
DolniVestonice1_01_02,DolniVestonice1,Gravette_point,"Klíma, 1963",30.4,Moravia,16.643692,48.888224
DolniVestonice1_01_03,DolniVestonice1,Gravette_point,"Klíma, 1963",30.4,Moravia,16.643692,48.888224
DolniVestonice1_01_04,DolniVestonice1,Gravette_point,"Klíma, 1963",30.4,Moravia,16.643692,48.888224
DolniVestonice1_01_05,DolniVestonice1,Gravette_point,"Klíma, 1963",30.4,Moravia,16.643692,48.888224
DolniVestonice1_01_06,DolniVestonice1,Gravette_point,"Klíma, 1963",30.4,Moravia,16.643692,48.888224
DolniVestonice1_01_07,DolniVestonice1,Gravette_point,"Klíma, 1963",30.4,Moravia,16.643692,48.888224
DolniVestonice1_01_08,DolniVestonice1,Gravette_point,"Klíma, 1963",30.4,Moravia,16.643692,48.888224
DolniVestonice1_01_09,DolniVestonice1,Gravette_point,"Klíma, 1963",30.4,Moravia,16.643692,48.888224
DolniVestonice1_01_10,DolniVestonice1,Gravette_point,"Klíma, 1963",30.4,Moravia,16.643692,48.888224
DolniVestonice1_01_11,DolniVestonice1,Gravette_point,"Klíma, 1963",30.4,Moravia,16.643692,48.888224
DolniVestonice1_01_12,DolniVestonice1,Abri_Audi_knife,"Klíma, 1963",30.4,Moravia,16.643692,48.888224
DolniVestonice1_01_13,DolniVestonice1,Abri_Audi_knife,"Klíma, 1963",30.4,Moravia,16.643692,48.888224
DolniVestonice1_02_01,DolniVestonice1,Abri_Audi_knife,"Klíma, 1963",30.4,Moravia,16.643692,48.888224
DolniVestonice1_02_02,DolniVestonice1,Abri_Audi_knife,"Klíma, 1963",30.4,Moravia,16.643692,48.888224
DolniVestonice1_02_03,DolniVestonice1,Abri_Audi_knife,"Klíma, 1963",30.4,Moravia,16.643692,48.888224
DolniVestonice1_02_04,DolniVestonice1,Abri_Audi_knife,"Klíma, 1963",30.4,Moravia,16.643692,48.888224
DolniVestonice1_02_05,DolniVestonice1,Abri_Audi_knife,"Klíma, 1963",30.4,Moravia,16.643692,48.888224
DolniVestonice1_02_06,DolniVestonice1,Abri_Audi_knife,"Klíma, 1963",30.4,Moravia,16.643692,48.888224
DolniVestonice1_02_07,DolniVestonice1,Abri_Audi_knife,"Klíma, 1963",30.4,Moravia,16.643692,48.888224
