"","ID","site","width","length","l_w_index","area","percent_area","contour_length","area_contour_ratio","position_longest_extend","position_widest_extend","length_lower_part","relative_length_lower_part","length_upper_part","relative_length_upper_part","upper_to_lower_ratio","width_left_part","relative_width_left_part","width_right_part","relative_width_right_part","left_to_right_ratio","tip_angle","MP_CM_x_offset","MP_CM_y_offset","FD","ka_cal_BP","typology","region","clust"
"1","AggsbachB_01_01","AggsbachB",8,32,4,216,74,78,276,4,2,12.5,39,20.4,63,1.6,5.3,66,3.4,42,1.6,57,0.2,-0.5,1.94121712012514,30,"Flechette","Lower Austria",1
"2","AggsbachB_01_02","AggsbachB",8,56,7,386,81,132,292,4,4,42.5,75,14.2,25,0.3,4.9,61,3.3,41,1.5,71,0.1,0.1,1.88209730240677,30,"Gravette_point","Lower Austria",2
"3","AggsbachB_01_03","AggsbachB",5,27,5.4,129,81,67,192,3,2,9,33,18.6,68,2.1,3,60,2.9,58,1,48,0.1,-0.7,1.86784566328232,30,"Flechette","Lower Austria",1
"4","AggsbachB_01_05","AggsbachB",5,27,5.4,109,75,60,181,3,2,8,29,19.5,72,2.4,2.9,58,2.4,47,1.2,38,0.2,-0.6,1.93351856537537,30,"Flechette","Lower Austria",1
"5","AggsbachB_01_08","AggsbachB",6,26,4.3,123,76,62,198,4,2,9.1,34,17.2,66,1.9,3.7,61,2.5,40,1.5,49,0.1,-0.5,1.88244373515024,30,"Flechette","Lower Austria",1
"6","AggsbachB_01_09","AggsbachB",7,37,5.3,224,76,86,260,3,2,9.2,24,28.1,75,3,3.7,52,3.6,51,1,41,0.3,-1.2,1.99335567502453,30,"Flechette","Lower Austria",1
"7","AggsbachB_01_11","AggsbachB",8,26,3.2,158,72,64,246,4,3,12.5,48,14.3,55,1.1,5.3,66,2.7,34,1.9,74,0.5,-0.1,1.92293843372257,30,"Flechette","Lower Austria",1
"8","AggsbachB_01_12","AggsbachB",7,32,4.6,174,70,73,238,3,4,20.3,63,12.2,38,0.6,4.2,60,3.1,44,1.4,61,0,0.1,1.91284507940688,30,"Flechette","Lower Austria",1
"9","AggsbachB_01_14","AggsbachB",8,37,4.6,252,82,91,276,3,3,15.4,41,22.4,60,1.5,4.5,56,3.9,48,1.2,44,0.1,-1.8,1.99928958796774,30,"Flechette","Lower Austria",1
"10","AggsbachB_01_17","AggsbachB",9,36,4,257,68,85,302,3,2,9.5,26,27.5,76,2.9,5,55,4.8,53,1,41,0,-1.6,1.96517066759404,30,"Flechette","Lower Austria",1
"11","AggsbachB_01_18","AggsbachB",9,50,5.6,368,77,121,304,3,1,7.5,15,43.1,86,5.7,5,55,4.7,52,1.1,29,0.1,-2.9,1.89581574308865,30,"Flechette","Lower Austria",2
"12","AggsbachB_01_19","AggsbachB",7,35,5,220,83,84,261,4,3,19.9,56,15.5,44,0.8,4.4,63,3,43,1.5,73,0.2,0,1.98432572033851,30,"Flechette","Lower Austria",1
"13","AggsbachB_01_20","AggsbachB",8,32,4,201,75,77,261,3,2,11.6,36,20.9,65,1.8,4,49,4.2,51,1,53,-0.1,-0.9,1.92851001779544,30,"Flechette","Lower Austria",1
"14","DolniVestonice1_01_02","DolniVestonice1",11,35,3.2,284,68,84,338,2,2,8.9,25,26.5,75,3,4.1,37,7.4,67,0.5,40,-0.6,-2.8,1.99883893461333,30.4,"Gravette_point","Moravia",1
"15","DolniVestonice1_01_03","DolniVestonice1",10,36,3.6,286,73,89,321,2,2,11.9,32,25,69,2.1,2,20,8,79,0.3,46,-0.4,-2,1.99884449907168,30.4,"Gravette_point","Moravia",1
"16","DolniVestonice1_01_04","DolniVestonice1",10,42,4.2,313,70,101,309,4,2,15.9,37,26.7,63,1.7,6.5,64,3.7,37,1.8,44,0.2,-1.1,2.00623555902839,30.4,"Gravette_point","Moravia",1
"17","DolniVestonice1_01_05","DolniVestonice1",7,29,4.1,178,72,71,250,2,3,13,44,17,58,1.3,1.7,23,6.3,89,0.3,41,-0.7,-1.5,1.96183140299624,30.4,"Gravette_point","Moravia",1
"18","DolniVestonice1_01_06","DolniVestonice1",14,60,4.3,649,73,139,466,3,3,31.3,52,28.9,48,0.9,7.6,54,6.9,48,1.1,52,-0.2,-1.9,1.91114988430895,30.4,"Gravette_point","Moravia",1
"19","DolniVestonice1_01_07","DolniVestonice1",15,72,4.8,827,75,165,501,3,2,22.4,31,50.2,69,2.2,8,53,7.2,48,1.1,36,-0.4,-3.7,1.98800074194936,30.4,"Gravette_point","Moravia",1
"20","DolniVestonice1_01_08","DolniVestonice1",8,43,5.4,280,71,96,291,3,2,15.6,36,27.6,64,1.8,4.4,55,4.3,53,1,35,0.2,-2.2,1.97767293511721,30.4,"Gravette_point","Moravia",1
"21","DolniVestonice1_01_09","DolniVestonice1",12,58,4.8,599,75,136,440,3,3,23.7,40,35,60,1.5,5.9,49,6.9,57,0.9,47,-0.2,-2,1.89821056069564,30.4,"Gravette_point","Moravia",1
"22","DolniVestonice1_01_10","DolniVestonice1",12,72,6,762,78,163,467,3,2,20,27,52.2,72,2.6,6.7,55,6.3,52,1.1,36,-0.4,-3.7,1.9648900968302,30.4,"Gravette_point","Moravia",1
"23","DolniVestonice1_01_11","DolniVestonice1",14,50,3.6,557,70,126,442,3,2,16.7,33,33.9,67,2,8.5,60,6.5,46,1.3,51,0,-2.2,1.92236690730055,30.4,"Gravette_point","Moravia",1
"24","DolniVestonice1_01_12","DolniVestonice1",13,73,5.6,752,73,163,461,3,3,33.1,45,40.2,55,1.2,6.7,51,7,54,0.9,35,0,-3.3,1.97162419515908,30.4,"Abri_Audi_knife","Moravia",1
"25","DolniVestonice1_01_13","DolniVestonice1",11,47,4.3,417,70,110,379,3,3,22.4,47,24.6,52,1.1,6.3,57,5.6,50,1.1,45,0,-2.6,1.88624560589021,30.4,"Abri_Audi_knife","Moravia",1
"26","DolniVestonice1_06_01","DolniVestonice1",13,42,3.2,412,71,105,392,3,2,11.5,27,31.5,74,2.7,5.9,45,7.2,55,0.8,44,-0.2,-2.7,1.93117206126495,30.4,"Backed_blade","Moravia",2
"27","DolniVestonice1_07_03","DolniVestonice1",6,37,6.2,170,64,84,202,5,2,10,27,27.2,73,2.7,5.6,92,0.9,15,6,24,0.2,-2.8,1.93089970786639,30.4,"Backed_blade","Moravia",1
"28","DolniVestonice1_07_09","DolniVestonice1",4,23,5.8,76,70,52,146,3,2,6.5,28,16.9,73,2.6,1.9,46,2.4,60,0.8,39,-0.2,-0.4,1.87842872604693,30.4,"Backed_blade","Moravia",1
"29","DolniVestonice1_07_10","DolniVestonice1",5,29,5.8,135,73,68,198,5,3,12.6,43,16.5,56,1.3,5.2,103,0.7,14,7,41,0.2,-1.3,1.91410031629692,30.4,"Backed_blade","Moravia",1
"30","DolniVestonice1_08_04","DolniVestonice1",4,22,5.5,78,70,49,159,3,3,10.7,48,11.3,51,1.1,1.9,46,2.8,69,0.7,55,-0.2,-0.2,1.88508401704764,30.4,"Backed_blade","Moravia",1
"31","DolniVestonice1_08_07","DolniVestonice1",8,57,7.1,427,83,134,318,3,3,24.4,42,33,57,1.3,4.6,57,4.3,53,1.1,46,0,-0.4,1.90263683878135,30.4,"Backed_blade","Moravia",1
"32","DolniVestonice1_08_12","DolniVestonice1",10,90,9,761,71,199,382,2,2,34.1,37,56.7,62,1.7,3,29,7,70,0.4,32,-0.4,-0.7,1.94486028827247,30.4,"Backed_blade","Moravia",2
"33","DolniVestonice1_08_13","DolniVestonice1",5,20,4,75,71,45,166,3,2,5,25,15.2,75,3,2.4,48,2.6,51,0.9,48,-0.2,-0.4,1.89350925992173,30.4,"Backed_blade","Moravia",1
"34","DolniVestonice1_10_04","DolniVestonice1_10",22,94,4.3,1672,75,216,774,3,2,29.1,30,65.2,69,2.2,11.7,53,11.3,51,1,47,0.2,-2.6,1.87650461784339,30.4,"Chatelperron_point","Moravia",2
"35","GrubKranawetberg_01_01","GrubKranawetberg",5,27,5.4,114,66,65,175,4,3,14.9,55,12.8,47,0.9,4.2,84,1.4,28,3,50,0.2,-0.2,1.91831313862341,29.5,"Gravette_point","Lower Austria",1
"36","GrubKranawetberg_01_02","GrubKranawetberg",8,38,4.8,209,57,89,234,4,2,15.3,40,23.7,62,1.6,6,74,2.8,35,2.1,44,0.7,0.5,1.99702136115691,29.5,"Microgravette_point","Lower Austria",1
